airtime,selected_mcs,txgain,pm_power
1.0,5,38,13.1325666666667
1.0,9,38,13.4489333333333
1.0,14,38,13.8500306666667
1.0,18,38,14.0664306666667
1.0,23,38,14.5566653333333
1.0,0,37,13.0447933333333
1.0,5,37,13.1476586666667
1.0,9,37,13.463608
1.0,14,37,13.8401746666667
1.0,18,37,15.2125693333333
1.0,23,37,14.6051733333333
1.0,0,37,13.0945826666667
1.0,5,37,13.1868746666667
1.0,9,37,13.4902013333333
1.0,14,37,13.696216
1.0,18,37,14.0766
1.0,23,37,14.6289506666667
1.0,0,37,13.0604426666667
1.0,5,37,14.2221693333333
1.0,9,37,13.48084
1.0,14,37,14.8299053333333
1.0,18,37,14.2552013333333
1.0,23,37,14.9135973333333
1.0,0,37,14.1290146666667
1.0,5,37,13.258464
1.0,9,37,13.364824
1.0,14,37,13.7549306666667
1.0,18,37,14.049044
1.0,23,37,14.619912
1.0,0,37,13.084064
1.0,5,37,13.1396626666667
1.0,9,37,14.5402613333333
1.0,14,37,13.8470146666667
1.0,18,37,15.0467786666667
1.0,23,37,15.6545693333333
1.0,0,37,13.0694586666667
1.0,5,37,14.2818386666667
1.0,9,37,13.4424146666667
1.0,14,37,13.772948
1.0,18,37,13.974104
1.0,23,37,14.590296
1.0,0,36,12.9827693333333
1.0,5,36,13.5147253333333
1.0,9,36,14.160944
1.0,14,36,13.85042
1.0,18,36,14.008564
1.0,23,36,14.6787693333333
1.0,0,36,13.1260786666667
1.0,5,36,13.1732906666667
1.0,9,36,13.479784
1.0,14,36,14.9770133333333
1.0,18,36,14.086796
1.0,23,36,15.7230733333333
1.0,0,36,13.111748
1.0,5,36,13.1908933333333
1.0,9,36,13.4700946666667
1.0,14,36,13.7720093333333
1.0,18,36,14.1420813333333
1.0,23,36,14.803936
1.0,0,36,13.041648
1.0,5,36,13.2311893333333
1.0,9,36,13.4668546666667
1.0,14,36,13.8300773333333
1.0,18,36,14.072304
1.0,23,36,14.6609373333333
1.0,0,36,13.134072
1.0,5,36,13.162808
1.0,9,36,13.4107826666667
1.0,14,36,13.8712773333333
1.0,18,36,13.99286
1.0,23,36,14.700016
1.0,0,36,13.140808
1.0,5,36,13.12938
1.0,9,36,13.4764893333333
1.0,14,36,13.8751186666667
1.0,18,36,14.057232
1.0,23,36,14.714684
1.0,0,35,13.00168
1.0,5,35,13.2265453333333
1.0,9,35,13.4543973333333
1.0,14,35,13.8408013333333
1.0,18,35,13.968152
1.0,23,35,14.7790693333333
1.0,0,35,13.1272053333333
1.0,5,35,13.1423733333333
1.0,9,35,13.478872
1.0,14,35,13.7834626666667
1.0,18,35,14.112328
1.0,23,35,14.7859333333333
1.0,0,35,12.9768013333333
1.0,5,35,13.3033693333333
1.0,9,35,13.4834706666667
1.0,14,35,13.8009333333333
1.0,18,35,14.1618866666667
1.0,23,35,14.8159453333333
1.0,0,35,13.83162
1.0,5,35,13.0646426666667
1.0,9,35,13.1878946666667
1.0,14,35,13.5627666666667
1.0,18,35,14.2021586666667
1.0,23,35,14.9862586666667
1.0,0,35,12.8819
1.0,5,35,12.9403466666667
1.0,9,35,13.1082773333333
1.0,14,35,13.604024
1.0,18,35,13.7927453333333
1.0,23,35,14.4724933333333
1.0,0,35,12.752688
1.0,5,35,13.006616
1.0,9,35,13.1862493333333
1.0,14,35,13.4754586666667
1.0,18,35,13.83396
1.0,23,35,14.5232493333333
1.0,0,34,13.0072906666667
1.0,5,34,13.2917586666667
1.0,9,34,13.3616666666667
1.0,14,34,13.8499346666667
1.0,18,34,14.1171493333333
1.0,23,34,14.8181706666667
1.0,0,34,13.08868
1.0,5,34,13.237564
1.0,9,34,13.3460533333333
1.0,14,34,13.9297533333333
1.0,18,34,14.019324
1.0,23,34,14.8816866666667
1.0,0,34,13.1105373333333
1.0,5,34,13.1813893333333
1.0,9,34,13.3917613333333
1.0,14,34,13.8763013333333
1.0,18,34,13.9982213333333
1.0,23,34,14.9867586666667
1.0,0,34,13.0370626666667
1.0,5,34,13.3117453333333
1.0,9,34,13.322236
1.0,14,34,13.8173653333333
1.0,18,34,14.1185866666667
1.0,23,34,14.7856253333333
1.0,0,34,13.1478466666667
1.0,5,34,13.1605933333333
1.0,9,34,13.418504
1.0,14,34,13.7846426666667
1.0,18,34,13.9535813333333
1.0,23,34,14.8874106666667
1.0,0,34,13.080436
1.0,5,34,13.092536
1.0,9,34,13.467412
1.0,14,34,13.8023746666667
1.0,18,34,14.075904
1.0,23,34,14.9196573333333
1.0,0,33,12.947988
1.0,5,33,13.3081893333333
1.0,9,33,13.4121573333333
1.0,14,33,13.750124
1.0,18,33,14.1828733333333
1.0,23,33,15.1124773333333
1.0,0,33,13.1007093333333
1.0,5,33,13.249604
1.0,9,33,13.2910373333333
1.0,14,33,13.8381346666667
1.0,18,33,14.138436
1.0,23,33,15.026188
1.0,0,33,13.1110533333333
1.0,5,33,13.1900066666667
1.0,9,33,13.4416373333333
1.0,14,33,13.7882826666667
1.0,18,33,14.1715746666667
1.0,23,33,14.9686146666667
1.0,0,33,13.1204933333333
1.0,5,33,13.168992
1.0,9,33,13.4172386666667
1.0,14,33,13.8670546666667
1.0,18,33,14.1166893333333
1.0,23,33,15.07108
1.0,0,33,13.03714
1.0,5,33,13.0893213333333
1.0,9,33,13.4570986666667
1.0,14,33,13.8871666666667
1.0,18,33,14.0668053333333
1.0,23,33,15.1009186666667
1.0,0,33,13.0989146666667
1.0,5,33,13.1275813333333
1.0,9,33,13.4458266666667
1.0,14,33,13.796764
1.0,18,33,14.1275706666667
1.0,23,33,15.021936
1.0,0,32,13.072596
1.0,5,32,13.1376186666667
1.0,9,32,13.396384
1.0,14,32,13.8443826666667
1.0,18,32,14.1729586666667
1.0,0,32,12.723488
1.0,5,32,13.0558613333333
1.0,9,32,13.0869706666667
1.0,14,32,13.6071613333333
1.0,18,32,14.0900853333333
1.0,0,32,12.8490506666667
1.0,5,32,12.860144
1.0,9,32,13.1906306666667
1.0,14,32,13.6605253333333
1.0,18,32,13.970496
1.0,0,32,12.797232
1.0,5,32,12.912504
1.0,9,32,13.2185293333333
1.0,14,32,13.4721306666667
1.0,18,32,14.0218533333333
1.0,0,32,12.8028066666667
1.0,5,32,12.8090706666667
1.0,9,32,13.1754293333333
1.0,14,32,13.5890173333333
1.0,18,32,13.9219893333333
1.0,0,32,12.88076
1.0,5,32,12.9183453333333
1.0,9,32,13.1749213333333
1.0,14,32,13.6284813333333
1.0,18,32,13.8928306666667
1.0,0,31,13.0126053333333
1.0,5,31,13.115028
1.0,9,31,13.4285946666667
1.0,14,31,13.788092
1.0,18,31,14.2495146666667
1.0,0,31,13.089352
1.0,5,31,13.096508
1.0,9,31,13.4062693333333
1.0,14,31,13.9113066666667
1.0,18,31,14.2310266666667
1.0,0,31,13.0435093333333
1.0,5,31,13.2150693333333
1.0,9,31,13.4245
1.0,14,31,13.886452
1.0,18,31,14.170796
1.0,0,31,13.1145226666667
1.0,5,31,13.158688
1.0,9,31,13.3602173333333
1.0,14,31,13.9181466666667
1.0,18,31,14.1367413333333
1.0,0,31,13.0361066666667
1.0,5,31,13.2780266666667
1.0,9,31,13.2175946666667
1.0,14,31,13.9035186666667
1.0,18,31,14.3704266666667
1.0,0,31,12.946376
1.0,5,31,13.3290573333333
1.0,9,31,13.3975986666667
1.0,14,31,13.805956
1.0,18,31,14.3757706666667
1.0,0,30,12.8687666666667
1.0,5,30,13.1966853333333
1.0,9,30,13.381972
1.0,14,30,13.754936
1.0,18,30,14.434524
1.0,0,30,13.0364626666667
1.0,5,30,13.041632
1.0,9,30,13.4164106666667
1.0,14,30,13.8707426666667
1.0,18,30,14.3188746666667
1.0,0,30,13.0494013333333
1.0,5,30,13.0614133333333
1.0,9,30,13.4586613333333
1.0,14,30,13.9653306666667
1.0,18,30,14.2724386666667
1.0,0,30,13.088864
1.0,5,30,13.180936
1.0,9,30,13.3029573333333
1.0,14,30,13.9352706666667
1.0,18,30,14.3474173333333
1.0,0,30,12.996568
1.0,5,30,13.2043946666667
1.0,9,30,13.2760813333333
1.0,14,30,13.9607346666667
1.0,18,30,14.372508
1.0,0,30,14.1355173333333
1.0,5,30,13.2355466666667
1.0,9,30,13.3191253333333
1.0,14,30,13.80398
1.0,18,30,14.435164
1.0,0,29,12.934864
1.0,5,29,13.2695693333333
1.0,9,29,13.3217013333333
1.0,14,29,13.9012026666667
1.0,18,29,14.959372
1.0,0,29,13.0707
1.0,5,29,13.1776693333333
1.0,9,29,13.3294026666667
1.0,14,29,13.929452
1.0,18,29,14.967992
1.0,0,29,13.0406666666667
1.0,5,29,13.112668
1.0,9,29,13.4098146666667
1.0,14,29,13.918192
1.0,18,29,14.9127666666667
1.0,0,29,13.1174773333333
1.0,5,29,13.0963146666667
1.0,9,29,13.4822946666667
1.0,14,29,13.9730173333333
1.0,18,29,14.932532
1.0,0,29,12.950844
1.0,5,29,13.2749466666667
1.0,9,29,13.456484
1.0,14,29,13.9038106666667
1.0,18,29,14.9603053333333
1.0,0,29,13.1013333333333
1.0,5,29,13.124324
1.0,9,29,13.4797946666667
1.0,14,29,13.9036746666667
1.0,18,29,14.8821853333333
1.0,0,28,12.9973986666667
1.0,5,28,13.115416
1.0,9,28,13.4540013333333
1.0,14,28,13.94844
1.0,0,28,12.7124213333333
1.0,5,28,13.0295653333333
1.0,9,28,13.0254253333333
1.0,14,28,13.8421133333333
1.0,0,28,13.9664053333333
1.0,5,28,12.9666653333333
1.0,9,28,13.927704
1.0,14,28,13.9514653333333
1.0,0,28,12.763184
1.0,5,28,12.9507386666667
1.0,9,28,12.9636826666667
1.0,14,28,13.8485133333333
1.0,0,28,12.778028
1.0,5,28,12.8399533333333
1.0,9,28,13.1236746666667
1.0,14,28,13.8108506666667
1.0,0,28,12.7916093333333
1.0,5,28,12.8670173333333
1.0,9,28,13.2142506666667
1.0,14,28,13.6435706666667
1.0,0,27,12.9281973333333
1.0,5,27,13.316652
1.0,9,27,13.4405
1.0,14,27,14.0598226666667
1.0,0,27,13.1821053333333
1.0,5,27,13.2768573333333
1.0,9,27,13.3562186666667
1.0,14,27,14.2837053333333
1.0,0,27,13.018324
1.0,5,27,13.1661133333333
1.0,9,27,13.446068
1.0,14,27,14.066328
1.0,0,27,13.1338106666667
1.0,5,27,13.1947586666667
1.0,9,27,13.4088573333333
1.0,14,27,14.2241426666667
1.0,0,27,12.9918973333333
1.0,5,27,13.2868733333333
1.0,9,27,13.3429653333333
1.0,14,27,14.0855133333333
1.0,0,27,13.1085933333333
1.0,5,27,13.576184
1.0,9,27,13.9756893333333
1.0,14,27,14.201476
1.0,0,26,12.8437773333333
1.0,5,26,13.251012
1.0,9,26,13.3413
1.0,14,26,14.2529653333333
1.0,0,26,13.112016
1.0,5,26,13.0874013333333
1.0,9,26,13.381116
1.0,14,26,14.372224
1.0,0,26,12.868048
1.0,5,26,13.21346
1.0,9,26,13.337584
1.0,14,26,14.2292146666667
1.0,0,26,13.0946573333333
1.0,5,26,13.098304
1.0,9,26,13.392688
1.0,14,26,14.3658906666667
1.0,0,26,12.9469573333333
1.0,5,26,13.189712
1.0,9,26,13.2242493333333
1.0,14,26,14.3461293333333
1.0,0,26,13.0092773333333
1.0,5,26,13.0568866666667
1.0,9,26,13.4589133333333
1.0,14,26,14.2220973333333
1.0,0,25,13.0873586666667
1.0,5,25,13.1165213333333
1.0,9,25,13.4114586666667
1.0,0,25,12.870776
1.0,5,25,13.0133906666667
1.0,9,25,13.0684706666667
1.0,0,25,12.8366413333333
1.0,5,25,12.9800386666667
1.0,9,25,13.1102373333333
1.0,0,25,12.8098986666667
1.0,5,25,13.0143413333333
1.0,9,25,13.088332
1.0,0,25,12.8124586666667
1.0,5,25,13.019844
1.0,9,25,13.0902986666667
1.0,0,25,12.8857173333333
1.0,5,25,13.0154453333333
1.0,9,25,13.1364373333333
1.0,0,24,13.182808
1.0,5,24,14.24066
1.0,9,24,13.6193586666667
1.0,0,24,13.901844
1.0,5,24,13.2744746666667
1.0,9,24,14.5468053333333
1.0,0,24,13.0912426666667
1.0,5,24,13.3102026666667
1.0,9,24,13.3999746666667
1.0,0,24,13.13596
1.0,5,24,13.1717773333333
1.0,9,24,13.4479826666667
1.0,0,24,13.115928
1.0,5,24,13.0759493333333
1.0,9,24,13.548652
1.0,0,24,12.9937373333333
1.0,5,24,13.1218533333333
1.0,9,24,13.55256
1.0,0,23,12.879232
1.0,5,23,13.296084
1.0,9,23,13.414592
1.0,0,23,13.0261493333333
1.0,5,23,13.2481
1.0,9,23,13.366584
1.0,0,23,13.099028
1.0,5,23,13.1626786666667
1.0,9,23,13.4280466666667
1.0,0,23,13.0954733333333
1.0,5,23,13.0963
1.0,9,23,13.5490106666667
1.0,0,23,13.0279626666667
1.0,5,23,13.1289373333333
1.0,9,23,13.6386986666667
1.0,0,23,12.981996
1.0,5,23,13.1881106666667
1.0,9,23,13.4048826666667
1.0,0,22,13.047704
1.0,5,22,13.191504
1.0,9,22,13.6762106666667
1.0,0,22,12.9502213333333
1.0,5,22,13.297608
1.0,9,22,13.6472906666667
1.0,0,22,12.8877093333333
1.0,5,22,13.309796
1.0,9,22,13.5988653333333
1.0,0,22,13.005016
1.0,5,22,13.302456
1.0,9,22,13.4517333333333
1.0,0,22,13.0611133333333
1.0,5,22,13.2893546666667
1.0,9,22,13.4663613333333
1.0,0,22,13.0981853333333
1.0,5,22,13.22608
1.0,9,22,13.5260733333333
1.0,0,21,12.9918306666667
1.0,5,21,13.2507226666667
1.0,9,21,13.7919786666667
1.0,0,21,12.9386306666667
1.0,5,21,13.3769986666667
1.0,9,21,13.6964186666667
1.0,0,21,13.0726306666667
1.0,5,21,13.3060133333333
1.0,9,21,13.6748013333333
1.0,0,21,13.0387426666667
1.0,5,21,13.238164
1.0,9,21,13.76498
1.0,0,21,13.0967146666667
1.0,5,21,13.121988
1.0,9,21,13.785364
1.0,0,21,12.982356
1.0,5,21,13.2469453333333
1.0,9,21,13.8114026666667
1.0,0,20,12.89686
1.0,5,20,13.372116
1.0,0,20,12.747312
1.0,5,20,12.8598893333333
1.0,0,20,12.8221706666667
1.0,5,20,12.9023653333333
1.0,0,20,12.788244
1.0,5,20,12.8913053333333
1.0,0,20,12.826448
1.0,5,20,12.9581533333333
1.0,0,20,12.7351453333333
1.0,5,20,12.9413133333333
1.0,0,74,13.3519133333333
1.0,5,74,13.6496413333333
1.0,9,74,13.8562453333333
1.0,14,74,14.151312
1.0,18,74,14.5856226666667
1.0,23,74,15.0299133333333
1.0,0,74,13.5344866666667
1.0,5,74,13.7232946666667
1.0,9,74,13.8194853333333
1.0,14,74,14.416664
1.0,18,74,15.7180373333333
1.0,23,74,15.2018706666667
1.0,0,74,13.6588786666667
1.0,5,74,13.68872
1.0,9,74,13.9732146666667
1.0,14,74,14.3352786666667
1.0,18,74,14.6431773333333
1.0,23,74,15.2887853333333
1.0,0,74,13.618504
1.0,5,74,13.7870306666667
1.0,9,74,14.1508773333333
1.0,14,74,14.435736
1.0,18,74,14.6759693333333
1.0,23,74,15.3202746666667
1.0,0,74,13.813852
1.0,5,74,13.9945
1.0,9,74,14.173784
1.0,14,74,14.5344173333333
1.0,18,74,14.8602146666667
1.0,23,74,15.47488
1.0,0,74,13.8112533333333
1.0,5,74,14.1323746666667
1.0,9,74,14.2403773333333
1.0,14,74,14.7060933333333
1.0,18,74,15.004992
1.0,23,74,15.6409853333333
1.0,0,73,13.547208
1.0,5,73,13.5948066666667
1.0,9,73,13.8785426666667
1.0,14,73,14.2529826666667
1.0,18,73,14.5843133333333
1.0,23,73,15.0170613333333
1.0,0,73,13.5710773333333
1.0,5,73,13.7394786666667
1.0,9,73,13.784088
1.0,14,73,14.3684693333333
1.0,18,73,14.6315866666667
1.0,23,73,15.07186
1.0,0,73,13.5760626666667
1.0,5,73,13.6834946666667
1.0,9,73,13.989732
1.0,14,73,14.483316
1.0,18,73,14.587304
1.0,23,73,15.2083026666667
1.0,0,73,13.745092
1.0,5,73,13.7259826666667
1.0,9,73,14.1057133333333
1.0,14,73,14.5529506666667
1.0,18,73,14.5783
1.0,23,73,15.3302613333333
1.0,0,73,13.8153946666667
1.0,5,73,13.8686106666667
1.0,9,73,14.2225346666667
1.0,14,73,14.6291706666667
1.0,18,73,14.684916
1.0,23,73,15.506596
1.0,0,73,13.9076026666667
1.0,5,73,13.9373133333333
1.0,9,73,14.3419173333333
1.0,14,73,14.7546333333333
1.0,18,73,14.9303253333333
1.0,23,73,15.7783546666667
1.0,0,68,13.362072
1.0,5,68,13.7550666666667
1.0,9,68,13.824248
1.0,14,68,14.3174693333333
1.0,18,68,14.656464
1.0,23,68,15.0009533333333
1.0,0,68,13.565112
1.0,5,68,13.7251773333333
1.0,9,68,13.7905466666667
1.0,14,68,14.4452146666667
1.0,18,68,14.588976
1.0,23,68,15.1000226666667
1.0,0,68,13.62982
1.0,5,68,13.6535306666667
1.0,9,68,13.9838266666667
1.0,14,68,14.4445346666667
1.0,18,68,14.56854
1.0,23,68,15.2555866666667
1.0,0,68,13.7790546666667
1.0,5,68,13.7973853333333
1.0,9,68,14.0765266666667
1.0,14,68,14.5903333333333
1.0,18,68,14.6070813333333
1.0,23,68,15.3087373333333
1.0,0,68,13.914552
1.0,5,68,13.8236413333333
1.0,9,68,14.2427066666667
1.0,14,68,14.6425973333333
1.0,18,68,14.7702133333333
1.0,23,68,15.5341346666667
1.0,0,68,13.9397973333333
1.0,5,68,14.0555773333333
1.0,9,68,14.1798026666667
1.0,14,68,14.7233786666667
1.0,18,68,15.052116
1.0,23,68,15.6619373333333
1.0,0,63,13.5663253333333
1.0,5,63,13.5614786666667
1.0,9,63,13.9154426666667
1.0,14,63,14.2999066666667
1.0,18,63,14.479876
1.0,23,63,15.13252
1.0,0,63,13.5644773333333
1.0,5,63,13.6430386666667
1.0,9,63,13.9846733333333
1.0,14,63,14.249096
1.0,18,63,14.594632
1.0,23,63,15.186036
1.0,0,63,13.53986
1.0,5,63,13.778352
1.0,9,63,14.0698066666667
1.0,14,63,14.3562853333333
1.0,18,63,14.695736
1.0,23,63,15.2530386666667
1.0,0,63,13.6033573333333
